 ,Name,Latitude,Longitude,Country,CountryCode,Status,ReactorType,ReactorModel,ConstructionStartAt,OperationalFrom,OperationalTo,Capacity,LastUpdatedAt,Source,IAEAId,Age
481,Nizhny Novgorod-1,55.786863,42.37215,Russia,RU,Planned,PWR,,,,,,07-06-2021,WNA,,0
482,Nizhny Novgorod-2,55.787102,42.37215,Russia,RU,Planned,PWR,,,,,,07-06-2021,WNA,,0
508,Olkiluoto-4,61.234352,21.436287,Finland,FI,Planned,,,,,,,,WNA,,0
532,Pengze-1,,,China,CN,Planned,PWR,AP-1000,,,,,,WNA,,0
533,Pengze-2,,,China,CN,Planned,PWR,AP-1000,,,,,,WNA,,0
536,Penly-3,49.977611,1.21409,France,FR,Planned,PWR,,,,,,,WNA,,0
554,Point Lepreau 2,45.068,-66.4546,Canada,CA,Planned,,,,,,,,WNA,,0
600,Sanming-1,,,China,CN,Planned,FBR,,,,,,,WNA,,0
601,Sanming-2,,,China,CN,Planned,FBR,,,,,,,WNA,,0
607,Sendai-3,,,Japan,JP,Planned,APWR,,,,,,,WNA,,0
610,Shanwei-1,,,China,CN,Planned,PWR,,,,,,,WNA,,0
611,Shaoguan-1,,,China,CN,Planned,PWR,,,,,,,WNA,,0
612,Shaoguan-2,,,China,CN,Planned,PWR,,,,,,,WNA,,0
613,Shaoguan-3,,,China,CN,Planned,PWR,,,,,,,WNA,,0
614,Shaoguan-4,,,China,CN,Planned,PWR,,,,,,,WNA,,0
634,Sinop-1,42,35,Türkiye,TR,Planned,PWR,ATMEA-1,,,,,,Wikipedia,,0
635,Sinop-2,42,35,Türkiye,TR,Planned,PWR,ATMEA-1,,,,,,Wikipedia,,0
636,Sinop-3,42,35,Türkiye,TR,Planned,PWR,ATMEA-1,,,,,,Wikipedia,,0
637,Sinop-4,42,35,Türkiye,TR,Planned,PWR,ATMEA-1,,,,,,Wikipedia,,0
641,Sizewell-C1,52.21939,1.6228,United Kingdom,GB,Planned,PWR,,,,,,,WNA,,0
642,Sizewell-C2,52.21939,1.6238,United Kingdom,GB,Planned,PWR,,,,,,,WNA,,0
675,Taohuajiang-1,,,China,CN,Planned,PWR,AP-1000,,,,,,WNA,,0
676,Taohuajiang-2,,,China,CN,Planned,PWR,AP-1000,,,,,,WNA,,0
677,Taohuajiang-3,,,China,CN,Planned,PWR,,,,,,,WNA,,0
678,Taohuajiang-4,,,China,CN,Planned,PWR,,,,,,,WNA,,0
715,Tsuruga-3,,,Japan,JP,Planned,PWR,,,,,,,WNA,,0
716,Tsuruga-4,,,Japan,JP,Planned,PWR,,,,,,,WNA,,0
729,Visaginas-1,55.6057,26.575842,Lithuania,LT,Planned,,,,,,,,WNA,,0
730,Visaginas-2,55.6057,26.575842,Lithuania,LT,Planned,,,,,,,,WNA,,0
745,Wolsong-5,35.7101,129.481,South Korea,KR,Planned,PHWR,,,,,,,WNA,,0
746,Wolsong-6,35.7101,129.481,South Korea,KR,Planned,PHWR,,,,,,,WNA,,0
748,Wuhu-1,,,China,CN,Planned,PWR,,,,,,,WNA,,0
749,Wuhu-2,,,China,CN,Planned,PWR,,,,,,,WNA,,0
752,Xianning-1,29.66,114.67,China,CN,Planned,PWR,AP-1000,,,,,,WNA/Wikipedia,,0
753,Xianning-2,29.66,114.67,China,CN,Planned,PWR,AP-1000,,,,,,WNA/Wikipedia,,0
754,Xiaomoshan (Jiulongshan) 1,,,China,CN,Planned,PWR,,,,,,,WNA,,0
755,Xiaomoshan (Jiulongshan) 2,,,China,CN,Planned,PWR,,,,,,,WNA,,0
762,Yanjiashan-1,,,China,CN,Planned,PWR,,,,,,,WNA,,0
763,Yanjiashan-2,,,China,CN,Planned,PWR,,,,,,,WNA,,0
803,Xudabao-1,40.351389,120.545833,China,CN,Planned,PWR,AP1000,,,,,29-05-2021,Wikipedia,,0
804,Xudabao-2,40.351389,120.545833,China,CN,Planned,PWR,AP1000,,,,,29-05-2021,Wikipedia,,0
811,Changjiang SMR-2,,,China,CN,Planned,PWR,ACP100,,,,,29-05-2021,WNA,,0
812,Bohai Shipyard FNPP,,,China,CN,Planned,PWR,ACPR50S,,,,,29-05-2021,WNA,,0
813,Jiaodong Shipyard FNPP,,,China,CN,Planned,PWR,ACP100S,,,,,29-05-2021,WNA,,0
814,Shanwei-2,,,China,CN,Planned,PWR,,,,,,29-05-2021,WNA,,0
1,Ågesta,59.206,18.0829,Sweden,SE,Shutdown,PHWR,,01-12-1957,01-05-1964,02-06-1974,9,2015-05-24T04:51:37+03:00,WNA/IAEA,528,10
10,Aktau (Shevchenko),43.607,51.283,Kazakhstan,KZ,Shutdown,FBR,BN-350,01-10-1964,16-07-1973,22-04-1999,52,2021-10-01T00:14:53+03:00,WNA/IAEA,414,25
16,APS-1 Obninsk,55.084,36.57,Russia,RU,Shutdown,LWGR,AM-1,01-01-1951,01-12-1954,29-04-2002,5,2015-05-24T04:51:32+03:00,WNA/IAEA,447,47
19,Armenian-1,40.182,44.147,Armenia,AM,Shutdown,PWR,VVER V-270,01-07-1969,06-10-1977,25-02-1989,376,07-06-2021,WNA/IAEA,1,11
36,Barseback-1,55.745,12.926,Sweden,SE,Shutdown,BWR,AA-II,01-02-1971,01-07-1975,30-11-1999,570,2018-03-10T14:52:00+02:00,WNA/IAEA,538,24
37,Barseback-2,55.745,12.926,Sweden,SE,Shutdown,BWR,AA-II,01-01-1973,01-07-1977,31-05-2005,570,2018-03-10T14:52:02+02:00,WNA/IAEA,540,27
46,Beloyarsk-1,56.842,61.321,Russia,RU,Shutdown,LWGR,AMB-100,01-06-1958,26-04-1964,01-01-1983,102,2015-05-24T04:51:34+03:00,WNA/IAEA,488,18
47,Beloyarsk-2,56.842,61.321,Russia,RU,Shutdown,LWGR,AMB-200,01-01-1962,01-12-1969,01-01-1990,146,2015-05-24T04:51:35+03:00,WNA/IAEA,503,20
51,Berkeley-1,51.692,-2.494,United Kingdom,GB,Shutdown,GCR,MAGNOX,01-01-1957,12-06-1962,31-03-1989,138,2015-05-24T04:51:19+03:00,WNA/IAEA,264,26
52,Berkeley-2,51.692,-2.494,United Kingdom,GB,Shutdown,GCR,MAGNOX,01-01-1957,20-10-1962,26-10-1988,138,2015-05-24T04:51:19+03:00,WNA/IAEA,265,26
55,Biblis-A,49.709,8.415,Germany,DE,Shutdown,PWR,PWR,01-01-1970,26-02-1975,06-08-2011,1146,2015-05-24T04:50:42+03:00,WNA/IAEA,85,36
56,Biblis-B,49.709,8.415,Germany,DE,Shutdown,PWR,PWR,01-02-1972,31-01-1977,06-08-2011,1178,2015-05-24T04:50:42+03:00,WNA/IAEA,91,34
57,Big Rock Point,45.359,-85.195,United States,US,Shutdown,BWR,,01-05-1960,29-03-1963,29-08-1997,72,2015-05-24T04:51:41+03:00,WNA/IAEA,601,34
58,Bilibino-1,68.059,166.492,Russia,RU,Shutdown,LWGR,EGP-6,01-01-1970,01-04-1974,14-01-2019,11,2019-06-02T20:18:07+03:00,WNA/IAEA,467,44
66,Bohunice-1,48.494,17.687,Slovakia,SK,Shutdown,PWR,VVER V-230,24-04-1972,01-04-1980,31-12-2006,408,2015-05-24T04:51:38+03:00,WNA/IAEA,548,26
67,Bohunice-2,48.494,17.687,Slovakia,SK,Shutdown,PWR,VVER V-230,24-04-1972,01-01-1981,31-12-2008,408,2015-05-24T04:51:38+03:00,WNA/IAEA,549,27
70,Bohunice-A1,48.494,17.687,Slovakia,SK,Shutdown,HWGCR,KS 150,01-08-1958,25-12-1972,22-02-1977,110,2015-05-24T04:51:38+03:00,WNA/IAEA,543,4
71,BONUS,18.365,-67.268,United States,US,Shutdown,BWR,Superheater,01-01-1960,01-09-1965,01-06-1968,17,06-06-2021,WNA/IAEA,703,2
73,BR-3,51.217,5.099,Belgium,BE,Shutdown,PWR,Prototype,01-11-1957,10-10-1962,30-06-1987,11,2015-05-24T04:50:07+03:00,WNA/IAEA,8,24
74,Bradwell-1,51.742,0.899,United Kingdom,GB,Shutdown,GCR,MAGNOX,01-01-1957,01-07-1962,31-03-2002,150,2015-05-24T04:51:19+03:00,WNA/IAEA,266,39
75,Bradwell-2,51.742,0.899,United Kingdom,GB,Shutdown,GCR,MAGNOX,01-01-1957,12-11-1962,30-03-2002,150,2015-05-24T04:51:19+03:00,WNA/IAEA,267,39
79,Brokdorf,53.85,9.345,Germany,DE,Shutdown,PWR,PWR,01-01-1976,22-12-1986,31-12-2021,1307,2022-04-21T20:26:19+03:00,WNA/IAEA,107,35
91,Brunsbuettel,53.891,9.202,Germany,DE,Shutdown,BWR,BWR-69,15-04-1970,09-02-1977,06-08-2011,770,2015-05-24T04:50:42+03:00,WNA/IAEA,86,34
94,Bugey-1,45.796,5.268,France,FR,Shutdown,GCR,UNGG,01-12-1965,01-07-1972,27-05-1994,540,2015-05-24T04:51:08+03:00,WNA/IAEA,230,21
105,Calder Hall-1,54.42,-3.491,United Kingdom,GB,Shutdown,GCR,MAGNOX,01-08-1953,01-10-1956,31-03-2003,35,2015-05-24T04:51:09+03:00,WNA/IAEA,231,46
106,Calder Hall-2,54.42,-3.491,United Kingdom,GB,Shutdown,GCR,MAGNOX,01-08-1953,01-02-1957,31-03-2003,35,2015-05-24T04:51:09+03:00,WNA/IAEA,232,46
107,Calder Hall-3,54.42,-3.491,United Kingdom,GB,Shutdown,GCR,MAGNOX,01-08-1955,01-05-1958,31-03-2003,35,2015-05-24T04:51:10+03:00,WNA/IAEA,233,44
108,Calder Hall-4,54.42,-3.491,United Kingdom,GB,Shutdown,GCR,MAGNOX,01-08-1955,01-04-1959,31-03-2003,35,2015-05-24T04:51:10+03:00,WNA/IAEA,234,43
112,Caorso,45.072,9.872,Italy,IT,Shutdown,BWR,BWR-4 (Mark 2),01-01-1970,01-12-1981,01-07-1990,840,2015-05-24T04:51:26+03:00,WNA/IAEA,327,8
114,Carolinas CVTR,34.263,-81.33,United States,US,Shutdown,PHWR,Prototype,01-01-1960,18-12-1963,10-01-1967,17,2017-02-10T23:57:39+02:00,WNA/IAEA,600,3
127,Chapelcross-1,55.014,-3.223,United Kingdom,GB,Shutdown,GCR,MAGNOX,01-10-1955,01-03-1959,29-06-2004,35,2015-05-24T04:51:17+03:00,WNA/IAEA,252,45
128,Chapelcross-2,55.014,-3.223,United Kingdom,GB,Shutdown,GCR,MAGNOX,01-10-1955,01-08-1959,29-06-2004,35,2015-05-24T04:51:18+03:00,WNA/IAEA,253,44
129,Chapelcross-3,55.014,-3.223,United Kingdom,GB,Shutdown,GCR,MAGNOX,01-10-1955,01-12-1959,29-06-2004,35,2015-05-24T04:51:18+03:00,WNA/IAEA,254,44
130,Chapelcross-4,55.014,-3.223,United Kingdom,GB,Shutdown,GCR,MAGNOX,01-10-1955,01-03-1960,29-06-2004,35,2015-05-24T04:51:18+03:00,WNA/IAEA,255,44
135,Chernobyl-1,51.389,30.103,Ukraine,UA,Shutdown,LWGR,RBMK,01-03-1970,27-05-1978,30-11-1996,925,2015-05-24T04:51:39+03:00,WNA/IAEA,568,18
136,Chernobyl-2,51.389,30.103,Ukraine,UA,Shutdown,LWGR,RBMK,01-02-1973,28-05-1979,11-10-1991,925,2015-05-24T04:51:39+03:00,WNA/IAEA,569,12
137,Chernobyl-3,51.389,30.103,Ukraine,UA,Shutdown,LWGR,RBMK,01-03-1976,08-06-1982,15-12-2000,925,2015-05-24T04:51:40+03:00,WNA/IAEA,575,18
138,Chernobyl-4,51.389,30.103,Ukraine,UA,Shutdown,LWGR,RBMK,01-04-1979,26-03-1984,26-04-1986,925,2015-05-24T04:51:40+03:00,WNA/IAEA,576,2
139,Chin Shan-1,25.292,121.567,Taiwan,TW,Shutdown,BWR,BWR-4 (Mark 1),02-06-1972,10-12-1978,06-12-2018,604,2019-06-02T20:18:27+03:00,WNA/IAEA,554,39
140,Chin Shan-2,25.292,121.567,Taiwan,TW,Shutdown,BWR,BWR-4 (Mark 1),07-12-1973,15-07-1979,16-07-2019,604,22-11-2019,WNA/IAEA,555,40
141,Chinon-A1,47.232,0.167,France,FR,Shutdown,GCR,UNGG,01-02-1957,01-02-1964,16-04-1973,68,2015-05-24T04:50:52+03:00,WNA/IAEA,173,9
142,Chinon-A2,47.232,0.167,France,FR,Shutdown,GCR,UNGG,01-08-1959,24-02-1965,14-06-1985,170,2015-05-24T04:50:53+03:00,WNA/IAEA,184,20
143,Chinon-A3,47.232,0.167,France,FR,Shutdown,GCR,UNGG,01-03-1961,04-08-1966,15-06-1990,480,2015-05-24T04:50:58+03:00,WNA/IAEA,195,23
148,Chooz-A,50.086,4.792,France,FR,Shutdown,PWR,CHOOZ-A,01-01-1962,15-04-1967,30-10-1991,280,2015-05-24T04:51:01+03:00,WNA/IAEA,206,24
163,Crystal River-3,28.966,-82.697,United States,US,Shutdown,PWR,B&W LLP (DRYAMB),25-09-1968,13-03-1977,05-02-2013,825,2017-02-10T23:58:22+02:00,WNA/IAEA,645,35
182,Doel-3,51.323,4.259,Belgium,BE,Shutdown,PWR,WH 3LP,01-01-1975,01-10-1982,23-09-2022,890,2022-12-30T00:57:40+02:00,WNA/IAEA,12,39
186,Douglas Point,44.326,-81.601,Canada,CA,Shutdown,PHWR,CANDU 200,01-02-1960,26-09-1968,04-05-1984,203,2015-05-24T04:50:24+03:00,WNA/IAEA,40,15
187,Dounreay DFR,58.577,-3.745,United Kingdom,GB,Shutdown,FBR,,01-03-1955,01-10-1962,01-03-1977,14,2015-05-24T04:51:14+03:00,WNA/IAEA,242,14
188,Dounreay PFR,58.577,-3.745,United Kingdom,GB,Shutdown,FBR,,01-01-1966,01-07-1976,31-03-1994,234,2015-05-24T04:51:14+03:00,WNA/IAEA,243,17
189,Dresden-1,41.353,-88.349,United States,US,Shutdown,BWR,,01-05-1956,04-07-1960,31-10-1978,192,2015-05-24T04:51:40+03:00,WNA/IAEA,597,18
192,Duane Arnold-1,42.101,-91.776,United States,US,Shutdown,BWR,BWR-4 (Mark 1),22-06-1970,01-02-1975,12-10-2020,601,2021-01-06T01:19:47+02:00,WNA/IAEA,667,45
197,Dungeness-A1,50.914,0.962,United Kingdom,GB,Shutdown,GCR,MAGNOX,01-07-1960,28-10-1965,31-12-2006,275,2015-05-24T04:51:20+03:00,WNA/IAEA,275,41
198,Dungeness-A2,50.914,0.962,United Kingdom,GB,Shutdown,GCR,MAGNOX,01-07-1960,30-12-1965,31-12-2006,275,2015-05-24T04:51:20+03:00,WNA/IAEA,276,41
199,Dungeness-B1,50.914,0.962,United Kingdom,GB,Shutdown,GCR,AGR,01-10-1965,01-04-1985,07-06-2021,607,2022-01-05T00:04:08+02:00,WNA/IAEA,248,36
200,Dungeness-B2,50.914,0.962,United Kingdom,GB,Shutdown,GCR,AGR,01-10-1965,01-04-1989,07-06-2021,607,2022-01-05T00:04:08+02:00,WNA/IAEA,249,32
202,EL-4 (Monts D'Arree),48.35,-3.866667,France,FR,Shutdown,HWGCR,Monts-D'Arree,01-07-1962,01-06-1968,31-07-1985,70,2015-05-24T05:20:27+03:00,IAEA,217,17
203,Elk River,45.297,-93.557,United States,US,Shutdown,BWR,,01-01-1959,01-07-1964,01-02-1968,22,2015-05-24T04:51:40+03:00,WNA/IAEA,596,3
205,Emsland,52.471,7.322,Germany,DE,Shutdown,PWR,Konvoi,10-08-1982,20-06-1988,15-04-2023,1242,2023-08-28T08:01:45+03:00,WNA/IAEA,108,34
206,Enrico Fermi,45.183333,8.283333,Italy,IT,Shutdown,PWR,WH 4LP,01-07-1961,01-01-1965,01-07-1990,247,2017-02-10T23:56:19+02:00,IAEA,326,25
207,Enrico Fermi-1,41.96,-83.257,United States,US,Shutdown,FBR,Liquid Metal FBR,08-08-1956,07-08-1966,29-11-1972,60,2017-02-10T23:57:45+02:00,WNA/IAEA,602,6
215,Fessenheim-1,47.903,7.564,France,FR,Shutdown,PWR,CP0,01-09-1971,01-01-1978,22-02-2020,880,2020-04-18T04:46:52+03:00,WNA/IAEA,163,42
216,Fessenheim-2,47.903,7.564,France,FR,Shutdown,PWR,CP0,01-02-1972,01-04-1978,30-06-2020,880,2020-08-31T01:39:56+03:00,WNA/IAEA,164,42
224,Fort Calhoun-1,41.52,-96.076,United States,US,Shutdown,PWR,CE 2LP,07-06-1968,26-09-1973,24-10-2016,478,2017-02-10T23:58:13+02:00,WNA/IAEA,634,43
225,Fort St. Vrain,40.244,-104.874,United States,US,Shutdown,HTGR,,01-09-1968,01-07-1979,29-08-1989,330,2015-05-24T04:51:42+03:00,WNA/IAEA,623,10
226,Fugen ATR,35.751,136.02,Japan,JP,Shutdown,HWLWR,ATR,10-05-1972,20-03-1979,29-03-2003,148,2015-05-24T04:51:28+03:00,WNA/IAEA,345,24
227,Fukushima Daiichi-1,37.423,141.032,Japan,JP,Shutdown,BWR,BWR-3,25-07-1967,26-03-1971,19-05-2011,439,2019-06-30T12:49:39+03:00,WNA/IAEA,377,40
228,Fukushima Daiichi-2,37.423,141.032,Japan,JP,Shutdown,BWR,BWR-4,09-06-1969,18-07-1974,19-05-2011,760,2019-06-30T12:49:43+03:00,WNA/IAEA,389,36
229,Fukushima Daiichi-3,37.423,141.032,Japan,JP,Shutdown,BWR,BWR-4,28-12-1970,27-03-1976,19-05-2011,760,2019-06-30T12:49:48+03:00,WNA/IAEA,334,35
230,Fukushima Daiichi-4,37.423,141.032,Japan,JP,Shutdown,BWR,BWR-4,12-02-1973,12-10-1978,19-05-2011,760,2019-06-30T12:49:48+03:00,WNA/IAEA,340,32
231,Fukushima Daiichi-5,37.423,141.032,Japan,JP,Shutdown,BWR,BWR-4,22-05-1972,18-04-1978,17-12-2013,760,2019-06-30T12:49:49+03:00,WNA/IAEA,341,35
232,Fukushima Daiichi-6,37.423,141.032,Japan,JP,Shutdown,BWR,BWR-5,26-10-1973,24-10-1979,17-12-2013,1067,2019-06-30T12:52:14+03:00,WNA/IAEA,342,34
233,Fukushima Daini-1,37.315,141.024,Japan,JP,Shutdown,BWR,BWR-5,16-03-1976,20-04-1982,30-09-2019,1067,2020-04-18T04:46:52+03:00,WNA/IAEA,350,37
234,Fukushima Daini-2,37.315,141.024,Japan,JP,Shutdown,BWR,BWR-5,25-05-1979,03-02-1984,30-09-2019,1067,2020-04-18T04:46:52+03:00,WNA/IAEA,351,35
235,Fukushima Daini-3,37.315,141.024,Japan,JP,Shutdown,BWR,BWR-5,23-03-1981,21-06-1985,30-09-2019,1067,2020-04-18T04:46:52+03:00,WNA/IAEA,361,34
236,Fukushima Daini-4,37.315,141.024,Japan,JP,Shutdown,BWR,BWR-5,28-05-1981,25-08-1987,30-09-2019,1067,2020-04-18T04:46:52+03:00,WNA/IAEA,364,32
243,G-2 (Marcoule),44.142,4.713,France,FR,Shutdown,GCR,,01-03-1955,22-04-1959,02-02-1980,36,2015-05-24T04:50:51+03:00,WNA/IAEA,172,20
244,G-3 (Marcoule),44.142,4.713,France,FR,Shutdown,GCR,,01-03-1956,04-04-1960,20-06-1984,36,2015-05-24T04:50:50+03:00,WNA/IAEA,161,24
245,Garigliano,41.258,13.835,Italy,IT,Shutdown,BWR,BWR-1,01-11-1959,01-06-1964,01-03-1982,150,2015-05-24T04:51:26+03:00,WNA/IAEA,325,17
246,GE Vallecitos,37.613056,-121.84,United States,US,Shutdown,BWR,25,01-01-1956,19-10-1957,09-12-1963,24,06-06-2021,IAEA,893,6
247,Genkai-1,33.518,129.837,Japan,JP,Shutdown,PWR,M (2-loop),15-09-1971,15-10-1975,27-04-2015,529,2015-05-24T04:51:27+03:00,WNA/IAEA,336,39
248,Genkai-2,33.518,129.837,Japan,JP,Shutdown,PWR,M (2-loop),01-02-1977,30-03-1981,09-04-2019,529,22-11-2019,WNA/IAEA,352,38
251,Gentilly-1 (Demo),46.395,-72.357,Canada,CA,Shutdown,HWLWR,HW BLWR 250,01-09-1966,01-05-1972,01-06-1977,250,2015-05-24T04:50:26+03:00,WNA/IAEA,47,5
252,Gentilly-2,46.395,-72.357,Canada,CA,Shutdown,PHWR,CANDU 6,01-04-1974,01-10-1983,28-12-2012,645,2015-05-24T04:50:21+03:00,WNA/IAEA,32,29
253,Dodewaard,51.899,5.687,Netherlands,NL,Shutdown,BWR,GE design,01-05-1965,26-03-1969,26-03-1997,54,07-06-2021,WNA/IAEA,422,28
257,Grafenrheinfeld,49.984,10.186,Germany,DE,Shutdown,PWR,PWR,01-01-1975,17-06-1982,27-06-2015,1225,2015-08-23T03:28:22+03:00,WNA/IAEA,97,33
265,Greifswald-1,54.143,13.668,Germany,DE,Shutdown,PWR,VVER V-230,01-03-1970,12-07-1974,18-12-1990,440,2022-09-24T22:33:57+03:00,WNA/IAEA,123,16
266,Greifswald-2,54.143,13.668,Germany,DE,Shutdown,PWR,VVER V-230,01-03-1970,16-04-1975,14-02-1990,408,2015-05-24T04:50:47+03:00,WNA/IAEA,124,14
267,Greifswald-3,54.143,13.668,Germany,DE,Shutdown,PWR,VVER V-230,01-04-1972,01-05-1978,28-02-1990,408,2015-05-24T04:50:47+03:00,WNA/IAEA,125,11
268,Greifswald-4,54.143,13.668,Germany,DE,Shutdown,PWR,VVER V-230,01-04-1972,01-11-1979,02-06-1990,408,2022-09-24T22:33:57+03:00,WNA/IAEA,126,10
269,Greifswald-5,54.143,13.668,Germany,DE,Shutdown,PWR,VVER V-213,01-12-1976,01-11-1989,24-11-1989,408,2015-05-24T04:50:47+03:00,WNA/IAEA,127,0
270,Grohnde,52.033,9.412,Germany,DE,Shutdown,PWR,PWR,01-06-1976,01-02-1985,31-12-2021,1289,2022-04-21T20:26:19+03:00,WNA/IAEA,101,36
272,Gundremmingen-A,48.513,10.401,Germany,DE,Shutdown,BWR,,12-12-1962,12-04-1967,13-01-1977,237,2015-05-24T04:50:46+03:00,WNA/IAEA,104,9
273,Gundremmingen-B,48.513,10.401,Germany,DE,Shutdown,BWR,BWR-72,20-07-1976,19-07-1984,31-12-2017,1244,2018-03-10T14:51:13+02:00,WNA/IAEA,100,33
274,Gundremmingen-C,48.513,10.401,Germany,DE,Shutdown,BWR,BWR-72,20-07-1976,18-01-1985,31-12-2021,1249,2022-04-21T20:26:19+03:00,WNA/IAEA,102,36
276,Haddam Neck,41.483,-72.5,United States,US,Shutdown,PWR,,01-05-1964,01-01-1968,05-12-1996,582,2015-05-24T04:51:41+03:00,WNA/IAEA,605,28
281,Hallam,40.559,-96.785,United States,US,Shutdown,OCR,LMGMR (SGR-Sodium cooled graphite moderated reactor),01-01-1959,01-11-1963,01-09-1964,75,2015-08-23T03:28:28+03:00,WNA/IAEA,891,0
282,Hamaoka-1,34.621,138.141,Japan,JP,Shutdown,BWR,BWR-4,10-06-1971,17-03-1976,30-01-2009,516,2015-05-24T04:51:27+03:00,WNA/IAEA,335,32
283,Hamaoka-2,34.621,138.141,Japan,JP,Shutdown,BWR,BWR-4,14-06-1974,29-11-1978,30-01-2009,814,2015-05-24T04:51:28+03:00,WNA/IAEA,349,30
312,Hinkley Point-A1,51.209,-3.131,United Kingdom,GB,Shutdown,GCR,MAGNOX,01-11-1957,30-03-1965,23-05-2000,250,2015-05-24T04:51:19+03:00,WNA/IAEA,271,35
313,Hinkley Point-A2,51.209,-3.131,United Kingdom,GB,Shutdown,GCR,MAGNOX,01-11-1957,05-05-1965,23-05-2000,250,2015-05-24T04:51:19+03:00,WNA/IAEA,272,35
314,Hinkley Point-B1,51.209,-3.131,United Kingdom,GB,Shutdown,GCR,AGR,01-09-1967,02-10-1978,01-08-2022,625,2022-09-24T22:33:57+03:00,WNA/IAEA,244,43
315,Hinkley Point-B2,51.209,-3.131,United Kingdom,GB,Shutdown,GCR,AGR,01-09-1967,27-09-1976,06-07-2022,625,2022-09-24T22:33:57+03:00,WNA/IAEA,245,45
327,Humboldt Bay,40.741,-124.21,United States,US,Shutdown,BWR,Natural cir.,01-11-1960,01-08-1963,02-07-1976,65,2015-05-24T04:51:41+03:00,WNA/IAEA,599,12
328,Hunterston-A1,55.722,-4.893,United Kingdom,GB,Shutdown,GCR,MAGNOX,01-10-1957,05-02-1964,30-03-1990,150,2015-05-24T04:51:19+03:00,WNA/IAEA,269,26
329,Hunterston-A2,55.722,-4.893,United Kingdom,GB,Shutdown,GCR,MAGNOX,01-10-1957,01-07-1964,31-12-1989,150,2015-05-24T04:51:19+03:00,WNA/IAEA,270,25
330,Hunterston-B1,55.722,-4.893,United Kingdom,GB,Shutdown,GCR,AGR,01-11-1967,07-02-1976,26-11-2021,624,2022-01-05T00:04:08+02:00,WNA/IAEA,246,45
331,Hunterston-B2,55.722,-4.893,United Kingdom,GB,Shutdown,GCR,AGR,01-11-1967,01-04-1977,07-01-2022,624,2022-04-21T20:26:19+03:00,WNA/IAEA,247,44
332,Ignalina-1,55.604,26.562,Lithuania,LT,Shutdown,LWGR,RBMK-1500,01-05-1977,01-05-1985,31-12-2004,1500,2022-04-21T20:26:19+03:00,WNA/IAEA,415,19
333,Ignalina-2,55.604,26.562,Lithuania,LT,Shutdown,LWGR,RBMK-1500,01-01-1978,01-12-1987,31-12-2009,1500,2022-04-21T20:26:19+03:00,WNA/IAEA,416,22
335,Ikata-1,33.491,132.309,Japan,JP,Shutdown,PWR,M (2-loop),01-09-1973,30-09-1977,10-05-2016,538,2017-02-10T23:56:25+02:00,WNA/IAEA,348,38
336,Ikata-2,33.491,132.309,Japan,JP,Shutdown,PWR,M (2-loop),01-08-1978,19-03-1982,23-05-2018,538,2019-06-02T20:18:50+03:00,WNA/IAEA,358,36
338,Indian Point-1,41.27,-73.95,United States,US,Shutdown,PWR,PWR,01-05-1956,01-10-1962,31-10-1974,265,2015-05-24T04:51:43+03:00,WNA/IAEA,643,12
339,Indian Point-2,41.27,-73.95,United States,US,Shutdown,PWR,WH 4LP (DRYAMB),14-10-1966,01-08-1974,30-04-2020,873,2020-06-06T02:15:57+03:00,WNA/IAEA,611,45
340,Indian Point-3,41.27,-73.95,United States,US,Shutdown,PWR,WH 4LP (DRYAMB),30-10-1968,28-08-1976,28-04-2021,965,2022-04-21T20:26:19+03:00,WNA/IAEA,635,44
341,Isar-1,48.607,12.296,Germany,DE,Shutdown,BWR,BWR-69,01-05-1972,21-03-1979,06-08-2011,870,2015-05-24T04:50:42+03:00,WNA/IAEA,89,32
342,Isar-2,48.607,12.296,Germany,DE,Shutdown,PWR,Konvoi,15-09-1982,09-04-1988,15-04-2023,1285,2023-08-28T08:01:45+03:00,WNA/IAEA,106,35
346,Jose Cabrera-1 (Zorita),40.362,-2.818,Spain,ES,Shutdown,PWR,WH 1LP,24-06-1964,13-08-1969,30-04-2006,153,2017-02-10T23:56:06+02:00,WNA/IAEA,139,36
347,JPDR,36.4625,140.61,Japan,JP,Shutdown,BWR,BWR-1,01-12-1960,15-03-1965,18-03-1976,10,2015-05-24T04:51:26+03:00,IAEA,333,11
348,AVR Juelich,50.903,6.421,Germany,DE,Shutdown,HTGR,Pebble bed reactor prototype,01-08-1961,19-05-1969,31-12-1988,13,07-06-2021,WNA/IAEA,114,19
369,KANUPP-1,24.845,66.79,Pakistan,PK,Shutdown,PHWR,CANDU-137 MW,01-08-1966,07-12-1972,01-08-2021,125,2022-01-05T00:04:08+02:00,WNA/IAEA,427,48
370,MZFR,49.104,8.432,Germany,DE,Shutdown,PHWR,,01-12-1961,19-12-1966,03-05-1984,50,07-06-2021,WNA/IAEA,93,17
378,Kewaunee,44.47,-87.498,United States,US,Shutdown,PWR,WH 2LP (DRYAMB),06-08-1968,16-06-1974,07-05-2013,535,2017-02-10T23:58:26+02:00,WNA/IAEA,647,38
383,KNK-II,49.098,8.441,Germany,DE,Shutdown,FBR,Prototype,01-09-1974,03-03-1979,23-08-1991,18,2015-05-24T04:50:48+03:00,WNA/IAEA,135,12
